Capital,Poblacion,Tasa natalidad,Tasa mortalidad
Almería,696.288,"11,44","7,6"
Cádiz,1.248.368,"9,47","8,1"
Córdoba,792.483,"8,88","9,9"
Granada,917.659,"9,38","9,2"
Huelva,521.741,"9,59","8,3"
Jaén,646.62,"8,36","10,3"
Málaga,1.641.148,"9,35","7,9"
Sevilla,1.940.996,"10,06","8,3"
Huesca,220.623,"8,46","12,3"
Teruel,136.074,"7,21","13,0"
Zaragoza,962.041,"8,81","10,2"
Oviedo,1.041.026,"6,18","12,9"
Mallorca,1.135.633,"9,38","7,3"
Santander,582.548,"7,50","10,3"
Ávila,163.688,"6,73","13,0"
Burgos,359.925,"7,64","10,7"
León,475.021,"6,34","13,0"
Palencia,164.253,"7,05","13,0"
Salamanca,338.609,"6,89","11,6"
Segovia,156.362,"7,62","11,5"
Soria,90.821,"6,95","13,0"
Valladolid,524.832,"7,97","9,8"
Zamora,181.347,"5,31","15,0"
Albacete,392.991,"8,83","9,4"
Ciudad Real,508.476,"8,46","10,9"
Cuenca,204.071,"7,42","12,2"
Guadalajara,254.303,"9,66","8,4"
Toledo,689.307,"9,32","8,6"
Barcelona,5.446.273,"9,45","8,6"
Girona,741.695,"10,18","8,6"
Lerida,429.138,"9,28","10,2"
Tarragona,791.747,"9,56","8,8"
Alicante,1.842.756,"8,64","8,6"
Castellón,571.258,"8,91","9,4"
Valencia,2.519.036,"8,91","9,1"
Badajoz,682.628,"8,67","10,0"
Cáceres,402.488,"7,35","11,4"
La Coruña,1.124.212,"7,45","11,2"
Lugo,336.213,"6,45","15,2"
Orense,314.764,"5,80","14,7"
Pontevedra,945.355,"7,43","9,8"
Madrid,6.424.843,"10,14","7,3"
Murcia,1.466.507,"10,91","7,6"
Pamplona,637.54,"9,44","8,9"
Vitoria,321.816,"9,84","8,6"
Bilbao,1.134.416,"8,22","10,4"
San Sebastian,707.911,"9,00","9,8"
Logroño,312.815,"8,73","9,8"