DIA,Usos bicis abono anual ,Usos bicis abono ocasional ,Usos bicis total,,Usos abono anual acumulado,Usos abono ocasional acumulado,Usos total acumulado desde inicio,,Acumulado mes total,,,
11/3/16,"6,139",58,"6,197",,"6,201,587","134,573","6,336,160",,,,,
11/4/16,"2,947",18,"2,965",,"6,204,534","134,591","6,339,125",,,,,
11/5/16,"2,166",19,"2,185",,"6,206,700","134,610","6,341,310",,,,,
11/6/16,"3,673",122,"3,795",,"6,210,373","134,732","6,345,105",,,,,
11/7/16,"4,555",56,"4,611",,"6,214,928","134,788","6,349,716",,,,,
11/8/16,"5,519",45,"5,564",,"6,220,447","134,833","6,355,280",,,,,
11/9/16,"3,512",58,"3,570",,"6,223,959","134,891","6,358,850",,,,,
11/10/16,"5,542",50,"5,592",,"6,229,501","134,941","6,364,442",,,,,
11/11/16,"5,774",67,"5,841",,"6,235,275","135,008","6,370,283",,,,,
11/12/16,"4,465",121,"4,586",,"6,239,740","135,129","6,374,869",,,,,
11/13/16,"4,266",143,"4,409",,"6,244,006","135,272","6,379,278",,,,,
11/14/16,"5,133",35,"5,168",,"6,249,139","135,307","6,384,446",,,,,
11/15/16,"5,137",57,"5,194",,"6,254,276","135,364","6,389,640",,,,,
11/16/16,"5,440",40,"5,480",,"6,259,716","135,404","6,395,120",,,,,
11/17/16,"5,765",39,"5,804",,"6,265,481","135,443","6,400,924",,,,,
11/18/16,"5,859",67,"5,926",,"6,271,340","135,510","6,406,850",,,,,
11/19/16,"4,556",183,"4,739",,"6,275,896","135,693","6,411,589",,,,,
11/20/16,"1,493",22,"1,515",,"6,277,389","135,715","6,413,104",,,,,
11/21/16,"4,138",25,"4,163",,"6,281,527","135,740","6,417,267",,,,,
11/22/16,"4,844",12,"4,856",,"6,286,371","135,752","6,422,123",,,,,
11/23/16,"4,274",6,"4,280",,"6,290,645","135,758","6,426,403",,,,,
11/24/16,"5,140",2,"5,142",,"6,295,785","135,760","6,431,545",,,,,
11/25/16,"2,709",0,"2,709",,"6,298,494","135,760","6,434,254",,,,,
11/26/16,"1,729",0,"1,729",,"6,300,223","135,760","6,435,983",,,,,
11/27/16,"1,742",0,"1,742",,"6,301,965","135,760","6,437,725",,,,,
11/28/16,"5,186",0,"5,186",,"6,307,151","135,760","6,442,911",,,,,
11/29/16,"5,168",0,"5,168",,"6,312,319","135,760","6,448,079",,,,,
11/30/16,"5,958",33,"5,991",,"6,318,277","135,793","6,454,070",,"133,408",,,
12/1/16,"6,191",7,"6,198",,"6,324,468","135,800","6,460,268",,,,,
12/2/16,"6,512",45,"6,557",,"6,330,980","135,845","6,466,825",,,,,
12/3/16,"4,622",173,"4,795",,"6,335,602","136,018","6,471,620",,,,,
12/4/16,"1,932",26,"1,958",,"6,337,534","136,044","6,473,578",,,,,
12/5/16,"5,256",67,"5,323",,"6,342,790","136,111","6,478,901",,,,,
12/6/16,"4,891",191,"5,082",,"6,347,681","136,302","6,483,983",,,,,
12/7/16,"5,970",61,"6,031",,"6,353,651","136,363","6,490,014",,,,,
12/8/16,"4,443",117,"4,560",,"6,358,094","136,480","6,494,574",,,,,
12/9/16,"5,341",82,"5,423",,"6,363,435","136,562","6,499,997",,,,,
12/10/16,"4,805",206,"5,011",,"6,368,240","136,768","6,505,008",,,,,
12/11/16,"4,370",133,"4,503",,"6,372,610","136,901","6,509,511",,,,,
12/12/16,"5,636",30,"5,666",,"6,378,246","136,931","6,515,177",,,,,
12/13/16,"5,792",25,"5,817",,"6,384,038","136,956","6,520,994",,,,,
12/14/16,"5,178",15,"5,193",,"6,389,216","136,971","6,526,187",,,,,
12/15/16,"4,252",15,"4,267",,"6,393,468","136,986","6,530,454",,,,,
12/16/16,"4,169",14,"4,183",,"6,397,637","137,000","6,534,637",,,,,
12/17/16,"5,658",117,"5,775",,"6,403,295","137,117","6,540,412",,,,,
12/18/16,"4,617",111,"4,728",,"6,407,912","137,228","6,545,140",,,,,
12/19/16,"5,715",53,"5,768",,"6,413,627","137,281","6,550,908",,,,,
12/20/16,"6,150",50,"6,200",,"6,419,777","137,331","6,557,108",,,,,
12/21/16,"6,698",67,"6,765",,"6,426,475","137,398","6,563,873",,,,,
12/22/16,"6,667",46,"6,713",,"6,433,142","137,444","6,570,586",,,,,
12/23/16,"5,949",102,"6,051",,"6,439,091","137,546","6,576,637",,,,,
12/24/16,"3,264",87,"3,351",,"6,442,355","137,633","6,579,988",,,,,
12/25/16,"1,911",116,"2,027",,"6,444,266","137,749","6,582,015",,,,,
12/26/16,"2,992",130,"3,122",,"6,447,258","137,879","6,585,137",,,,,
12/27/16,"4,794",159,"4,953",,"6,452,052","138,038","6,590,090",,,,,
12/28/16,"5,177",246,"5,423",,"6,457,229","138,284","6,595,513",,,,,
12/29/16,"5,550",211,"5,761",,"6,462,779","138,495","6,601,274",,,,,
12/30/16,"4,972",208,"5,180",,"6,467,751","138,703","6,606,454",,,,,
12/31/16,"2,696",103,"2,799",,"6,470,447","138,806","6,609,253",,"155,183",,,
1/1/17,"1,760",132,"1,892",,"6,472,207","138,938","6,611,145",,,,,
1/2/17,"3,297",116,"3,413",,"6,475,504","139,054","6,614,558",,,,,
1/3/17,"4,500",156,"4,656",,"6,480,004","139,210","6,619,214",,,,,
1/4/17,"5,202",161,"5,363",,"6,485,206","139,371","6,624,577",,,,,
1/5/17,"5,077",118,"5,195",,"6,490,283","139,489","6,629,772",,,,,
1/6/17,"2,934",161,"3,095",,"6,493,217","139,650","6,632,867",,,,,
1/7/17,"4,029",111,"4,140",,"6,497,246","139,761","6,637,007",,,,,
1/8/17,"3,744",97,"3,841",,"6,500,990","139,858","6,640,848",,,,,
1/9/17,"5,678",76,"5,754",,"6,506,668","139,934","6,646,602",,,,,
1/10/17,"6,206",54,"6,260",,"6,512,874","139,988","6,652,862",,,,,
1/11/17,"6,960",54,"7,014",,"6,519,834","140,042","6,659,876",,,,,
1/12/17,"6,773",77,"6,850",,"6,526,607","140,119","6,666,726",,,,,
1/13/17,"6,743",105,"6,848",,"6,533,350","140,224","6,673,574",,,,,
1/14/17,"5,080",149,"5,229",,"6,538,430","140,373","6,678,803",,,,,
1/15/17,"4,215",137,"4,352",,"6,542,645","140,510","6,683,155",,,,,
1/16/17,"6,026",54,"6,080",,"6,548,671","140,564","6,689,235",,,,,
1/17/17,"5,953",34,"5,987",,"6,554,624","140,598","6,695,222",,,,,
1/18/17,"5,314",47,"5,361",,"6,559,938","140,645","6,700,583",,,,,
1/19/17,"5,079",54,"5,133",,"6,565,017","140,699","6,705,716",,,,,
1/20/17,"5,243",55,"5,298",,"6,570,260","140,754","6,711,014",,,,,
1/21/17,"4,547",119,"4,666",,"6,574,807","140,873","6,715,680",,,,,
1/22/17,"3,992",96,"4,088",,"6,578,799","140,969","6,719,768",,,,,
1/23/17,"5,760",35,"5,795",,"6,584,559","141,004","6,725,563",,,,,
1/24/17,"6,502",25,"6,527",,"6,591,061","141,029","6,732,090",,,,,
1/25/17,"6,421",37,"6,458",,"6,597,482","141,066","6,738,548",,,,,
1/26/17,"6,181",17,"6,198",,"6,603,663","141,083","6,744,746",,,,,
1/27/17,"4,038",10,"4,048",,"6,607,701","141,093","6,748,794",,,,,
1/28/17,"4,477",141,"4,618",,"6,612,178","141,234","6,753,412",,,,,
1/29/17,"2,863",52,"2,915",,"6,615,041","141,286","6,756,327",,,,,
1/30/17,"5,429",67,"5,496",,"6,620,470","141,353","6,761,823",,,,,
1/31/17,"6,741",45,"6,786",,"6,627,211","141,398","6,768,609",,"159,356",,,
2/1/17,"6,238",53,"6,291",,"6,633,449","141,451","6,774,900",,,,,
2/2/17,"5,164",39,"5,203",,"6,638,613","141,490","6,780,103",,,,,
2/3/17,"5,573",49,"5,622",,"6,644,186","141,539","6,785,725",,,,,
2/4/17,"4,092",74,"4,166",,"6,648,278","141,613","6,789,891",,,,,
2/5/17,"3,960",97,"4,057",,"6,652,238","141,710","6,793,948",,,,,
2/6/17,"6,596",49,"6,645",,"6,658,834","141,759","6,800,593",,,,,
2/7/17,"6,087",19,"6,106",,"6,664,921","141,778","6,806,699",,,,,
2/8/17,"7,146",19,"7,165",,"6,672,067","141,797","6,813,864",,,,,
2/9/17,"7,008",42,"7,050",,"6,679,075","141,839","6,820,914",,,,,
2/10/17,"4,641",18,"4,659",,"6,683,716","141,857","6,825,573",,,,,
2/11/17,"2,475",27,"2,502",,"6,686,191","141,884","6,828,075",,,,,
2/12/17,"1,924",14,"1,938",,"6,688,115","141,898","6,830,013",,,,,
2/13/17,"5,527",36,"5,563",,"6,693,642","141,934","6,835,576",,,,,
2/14/17,"6,978",82,"7,060",,"6,700,620","142,016","6,842,636",,,,,
2/15/17,"7,571",93,"7,664",,"6,708,191","142,109","6,850,300",,,,,
2/16/17,"7,507",107,"7,614",,"6,715,698","142,216","6,857,914",,,,,
2/17/17,"7,241",141,"7,382",,"6,722,939","142,357","6,865,296",,,,,
2/18/17,"5,624",222,"5,846",,"6,728,563","142,579","6,871,142",,,,,
2/19/17,"4,995",325,"5,320",,"6,733,558","142,904","6,876,462",,,,,
2/20/17,"7,058",104,"7,162",,"6,740,616","143,008","6,883,624",,,,,
2/21/17,"7,556",118,"7,674",,"6,748,172","143,126","6,891,298",,,,,
2/22/17,"8,008",97,"8,105",,"6,756,180","143,223","6,899,403",,,,,
2/23/17,"7,083",99,"7,182",,"6,763,263","143,322","6,906,585",,,,,
2/24/17,"8,241",144,"8,385",,"6,771,504","143,466","6,914,970",,,,,
2/25/17,"6,264",397,"6,661",,"6,777,768","143,863","6,921,631",,,,,
2/26/17,"5,407",326,"5,733",,"6,783,175","144,189","6,927,364",,,,,
2/27/17,"7,049",174,"7,223",,"6,790,224","144,363","6,934,587",,,,,
2/28/17,"7,535",100,"7,635",,"6,797,759","144,463","6,942,222",,"173,613",,,
3/1/17,"8,353",81,"8,434",,"6,806,112","144,544","6,950,656",,,,,
3/2/17,"6,835",106,"6,941",,"6,812,947","144,650","6,957,597",,,,,
3/3/17,"5,410",47,"5,457",,"6,818,357","144,697","6,963,054",,,,,
3/4/17,"5,071",159,"5,230",,"6,823,428","144,856","6,968,284",,,,,
3/5/17,"4,611",164,"4,775",,"6,828,039","145,020","6,973,059",,,,,
3/6/17,"7,905",48,"7,953",,"6,835,944","145,068","6,981,012",,,,,
3/7/17,"8,767",79,"8,846",,"6,844,711","145,147","6,989,858",,,,,
3/8/17,"9,517",101,"9,618",,"6,854,228","145,248","6,999,476",,,,,
3/9/17,"9,752",107,"9,859",,"6,863,980","145,355","7,009,335",,,,,
3/10/17,"9,827",206,"10,033",,"6,873,807","145,561","7,019,368",,,,,
3/11/17,"7,473",437,"7,910",,"6,881,280","145,998","7,027,278",,,,,
3/12/17,"6,134",376,"6,510",,"6,887,414","146,374","7,033,788",,,,,
3/13/17,"7,110",95,"7,205",,"6,894,524","146,469","7,040,993",,,,,
3/14/17,"8,408",83,"8,491",,"6,902,932","146,552","7,049,484",,,,,
3/15/17,"9,376",124,"9,500",,"6,912,308","146,676","7,058,984",,,,,
3/16/17,"9,654",128,"9,782",,"6,921,962","146,804","7,068,766",,,,,
3/17/17,"8,363",147,"8,510",,"6,930,325","146,951","7,077,276",,,,,
3/18/17,"5,929",443,"6,372",,"6,936,254","147,394","7,083,648",,,,,
3/19/17,"5,390",491,"5,881",,"6,941,644","147,885","7,089,529",,,,,
3/20/17,"5,859",419,"6,278",,"6,947,503","148,304","7,095,807",,,,,
3/21/17,"8,191",116,"8,307",,"6,955,694","148,420","7,104,114",,,,,
3/22/17,"6,174",30,"6,204",,"6,961,868","148,450","7,110,318",,,,,
3/23/17,"5,229",29,"5,258",,"6,967,097","148,479","7,115,576",,,,,
3/24/17,"5,634",57,"5,691",,"6,972,731","148,536","7,121,267",,,,,
3/25/17,"4,698",148,"4,846",,"6,977,429","148,684","7,126,113",,,,,
3/26/17,"4,641",166,"4,807",,"6,982,070","148,850","7,130,920",,,,,
3/27/17,"6,570",104,"6,674",,"6,988,640","148,954","7,137,594",,,,,
3/28/17,"8,501",92,"8,593",,"6,997,141","149,046","7,146,187",,,,,
3/29/17,"9,163",112,"9,275",,"7,006,304","149,158","7,155,462",,,,,
3/30/17,"9,451",136,"9,587",,"7,015,755","149,294","7,165,049",,,,,
3/31/17,"9,382",141,"9,523",,"7,025,137","149,435","7,174,572",,"232,350",,,
4/1/17,"6,999",379,"7,378",,"7,032,136","149,814","7,181,950",,,,,
4/2/17,"6,728",335,"7,063",,"7,038,864","150,149","7,189,013",,,,,
4/3/17,"8,280",160,"8,440",,"7,047,144","150,309","7,197,453",,,,,
4/4/17,"9,168",128,"9,296",,"7,056,312","150,437","7,206,749",,,,,
4/5/17,"8,949",112,"9,061",,"7,065,261","150,549","7,215,810",,,,,
4/6/17,"8,990",110,"9,100",,"7,074,251","150,659","7,224,910",,,,,
4/7/17,"8,972",154,"9,126",,"7,083,223","150,813","7,234,036",,,,,
4/8/17,"6,918",364,"7,282",,"7,090,141","151,177","7,241,318",,,,,
4/9/17,"6,261",450,"6,711",,"7,096,402","151,627","7,248,029",,,,,
4/10/17,"7,568",275,"7,843",,"7,103,970","151,902","7,255,872",,,,,
4/11/17,"7,690",289,"7,979",,"7,111,660","152,191","7,263,851",,,,,
4/12/17,"6,985",298,"7,283",,"7,118,645","152,489","7,271,134",,,,,
4/13/17,"4,233",368,"4,601",,"7,122,878","152,857","7,275,735",,,,,
4/14/17,"4,056",427,"4,483",,"7,126,934","153,284","7,280,218",,,,,
4/15/17,"4,300",602,"4,902",,"7,131,234","153,886","7,285,120",,,,,
4/16/17,"4,749",562,"5,311",,"7,135,983","154,448","7,290,431",,,,,
4/17/17,"8,555",382,"8,937",,"7,144,538","154,830","7,299,368",,,,,
4/18/17,"9,903",213,"10,116",,"7,154,441","155,043","7,309,484",,,,,
4/19/17,"9,258",161,"9,419",,"7,163,699","155,204","7,318,903",,,,,
4/20/17,"8,917",153,"9,070",,"7,172,616","155,357","7,327,973",,,,,
4/21/17,"9,973",206,"10,179",,"7,182,589","155,563","7,338,152",,,,,
4/22/17,"7,539",415,"7,954",,"7,190,128","155,978","7,346,106",,,,,
4/23/17,"8,654",582,"9,236",,"7,198,782","156,560","7,355,342",,,,,
4/24/17,"9,471",274,"9,745",,"7,208,253","156,834","7,365,087",,,,,
4/25/17,"8,227",106,"8,333",,"7,216,480","156,940","7,373,420",,,,,
4/26/17,"9,655",91,"9,746",,"7,226,135","157,031","7,383,166",,,,,
4/27/17,"8,753",61,"8,814",,"7,234,888","157,092","7,391,980",,,,,
4/28/17,"8,217",124,"8,341",,"7,243,105","157,216","7,400,321",,,,,
4/29/17,"3,229",115,"3,344",,"7,246,334","157,331","7,403,665",,,,,
4/30/17,"3,278",144,"3,422",,"7,249,612","157,475","7,407,087",,"232,515",,,
5/1/17,"4,831",393,"5,224",,"7,254,443","157,868","7,412,311",,,,,
5/2/17,"6,469",292,"6,761",,"7,260,912","158,160","7,419,072",,,,,
5/3/17,"9,867",132,"9,999",,"7,270,779","158,292","7,429,071",,,,,
5/4/17,"10,431",91,"10,522",,"7,281,210","158,383","7,439,593",,,,,
5/5/17,"9,076",103,"9,179",,"7,290,286","158,486","7,448,772",,,,,
5/6/17,"7,831",389,"8,220",,"7,298,117","158,875","7,456,992",,,,,
5/7/17,"8,151",423,"8,574",,"7,306,268","159,298","7,465,566",,,,,
5/8/17,"10,256",185,"10,441",,"7,316,524","159,483","7,476,007",,,,,
5/9/17,"10,918",206,"11,124",,"7,327,442","159,689","7,487,131",,,,,
5/10/17,"10,561",124,"10,685",,"7,338,003","159,813","7,497,816",,,,,
5/11/17,"7,067",54,"7,121",,"7,345,070","159,867","7,504,937",,,,,
5/12/17,"7,119",61,"7,180",,"7,352,189","159,928","7,512,117",,,,,
5/13/17,"7,024",322,"7,346",,"7,359,213","160,250","7,519,463",,,,,
5/14/17,"7,447",509,"7,956",,"7,366,660","160,759","7,527,419",,,,,
5/15/17,"7,756",448,"8,204",,"7,374,416","161,207","7,535,623",,,,,
5/16/17,"10,697",181,"10,878",,"7,385,113","161,388","7,546,501",,,,,
5/17/17,"11,177",139,"11,316",,"7,396,290","161,527","7,557,817",,,,,
5/18/17,"10,528",159,"10,687",,"7,406,818","161,686","7,568,504",,,,,
5/19/17,"11,251",210,"11,461",,"7,418,069","161,896","7,579,965",,,,,
5/20/17,"9,100",434,"9,534",,"7,427,169","162,330","7,589,499",,,,,
5/21/17,"7,958",401,"8,359",,"7,435,127","162,731","7,597,858",,,,,
5/22/17,"11,217",210,"11,427",,"7,446,344","162,941","7,609,285",,,,,
5/23/17,"11,596",224,"11,820",,"7,457,940","163,165","7,621,105",,,,,
5/24/17,"12,147",206,"12,353",,"7,470,087","163,371","7,633,458",,,,,
5/25/17,"12,458",281,"12,739",,"7,482,545","163,652","7,646,197",,,,,
5/26/17,"12,293",300,"12,593",,"7,494,838","163,952","7,658,790",,,,,
5/27/17,"10,031",586,"10,617",,"7,504,869","164,538","7,669,407",,,,,
5/28/17,"8,813",678,"9,491",,"7,513,682","165,216","7,678,898",,,,,
5/29/17,"11,396",235,"11,631",,"7,525,078","165,451","7,690,529",,,,,
5/30/17,"12,439",178,"12,617",,"7,537,517","165,629","7,703,146",,,,,
5/31/17,"12,787",185,"12,972",,"7,550,304","165,814","7,716,118",,"309,031",,,
6/1/17,"13,441",132,"13,573",,"7,563,745","165,946","7,729,691",,,,,
6/2/17,"12,453",198,"12,651",,"7,576,198","166,144","7,742,342",,,,,
6/3/17,"9,006",377,"9,383",,"7,585,204","166,521","7,751,725",,,,,
6/4/17,"9,051",267,"9,318",,"7,594,255","166,788","7,761,043",,,,,
6/5/17,"11,292",181,"11,473",,"7,605,547","166,969","7,772,516",,,,,
6/6/17,"12,306",176,"12,482",,"7,617,853","167,145","7,784,998",,,,,
6/7/17,"12,859",190,"13,049",,"7,630,712","167,335","7,798,047",,,,,
6/8/17,"13,115",211,"13,326",,"7,643,827","167,546","7,811,373",,,,,
6/9/17,"12,915",232,"13,147",,"7,656,742","167,778","7,824,520",,,,,
6/10/17,"9,813",402,"10,215",,"7,666,555","168,180","7,834,735",,,,,
6/11/17,"8,971",406,"9,377",,"7,675,526","168,586","7,844,112",,,,,
6/12/17,"11,664",226,"11,890",,"7,687,190","168,812","7,856,002",,,,,
6/13/17,"12,416",160,"12,576",,"7,699,606","168,972","7,868,578",,,,,
6/14/17,"13,009",114,"13,123",,"7,712,615","169,086","7,881,701",,,,,
6/15/17,"12,861",126,"12,987",,"7,725,476","169,212","7,894,688",,,,,
6/16/17,"12,229",159,"12,388",,"7,737,705","169,371","7,907,076",,,,,
6/17/17,"8,785",285,"9,070",,"7,746,490","169,656","7,916,146",,,,,
6/18/17,"7,711",205,"7,916",,"7,754,201","169,861","7,924,062",,,,,
6/19/17,"12,188",140,"12,328",,"7,766,389","170,001","7,936,390",,,,,
6/20/17,"12,397",127,"12,524",,"7,778,786","170,128","7,948,914",,,,,
6/21/17,"13,690",180,"13,870",,"7,792,476","170,308","7,962,784",,,,,
6/22/17,"13,706",192,"13,898",,"7,806,182","170,500","7,976,682",,,,,
6/23/17,"12,616",178,"12,794",,"7,818,798","170,678","7,989,476",,,,,
6/24/17,"8,937",351,"9,288",,"7,827,735","171,029","7,998,764",,,,,
6/25/17,"7,130",317,"7,447",,"7,834,865","171,346","8,006,211",,,,,
6/26/17,"11,537",162,"11,699",,"7,846,402","171,508","8,017,910",,,,,
6/27/17,"12,985",183,"13,168",,"7,859,387","171,691","8,031,078",,,,,
6/28/17,"13,013",186,"13,199",,"7,872,400","171,877","8,044,277",,,,,
6/29/17,"12,672",145,"12,817",,"7,885,072","172,022","8,057,094",,,,,
6/30/17,"11,515",185,"11,700",,"7,896,587","172,207","8,068,794",,"352,676",,,
7/1/17,"8,144",266,"8,410",,"7,904,731","172,473","8,077,204",,,,,
7/2/17,"7,337",305,"7,642",,"7,912,068","172,778","8,084,846",,,,,
7/3/17,"11,898",256,"12,154",,"7,923,966","173,034","8,097,000",,,,,
7/4/17,"12,690",214,"12,904",,"7,936,656","173,248","8,109,904",,,,,
7/5/17,"13,083",265,"13,348",,"7,949,739","173,513","8,123,252",,,,,
7/6/17,"6,129",69,"6,198",,"7,955,868","173,582","8,129,450",,,,,
7/7/17,"7,721",101,"7,822",,"7,963,589","173,683","8,137,272",,,,,
7/8/17,"7,588",315,"7,903",,"7,971,177","173,998","8,145,175",,,,,
7/9/17,"7,855",467,"8,322",,"7,979,032","174,465","8,153,497",,,,,
7/10/17,"11,681",289,"11,970",,"7,990,713","174,754","8,165,467",,,,,
7/11/17,"12,347",169,"12,516",,"8,003,060","174,923","8,177,983",,,,,
7/12/17,"12,593",162,"12,755",,"8,015,653","175,085","8,190,738",,,,,
7/13/17,"12,347",187,"12,534",,"8,028,000","175,272","8,203,272",,,,,
7/14/17,"11,208",186,"11,394",,"8,039,208","175,458","8,214,666",,,,,
7/15/17,"7,353",226,"7,579",,"8,046,561","175,684","8,222,245",,,,,
7/16/17,"7,244",306,"7,550",,"8,053,805","175,990","8,229,795",,,,,
7/17/17,"11,119",193,"11,312",,"8,064,924","176,183","8,241,107",,,,,
7/18/17,"11,831",166,"11,997",,"8,076,755","176,349","8,253,104",,,,,
7/19/17,"12,195",179,"12,374",,"8,088,950","176,528","8,265,478",,,,,
7/20/17,"12,433",177,"12,610",,"8,101,383","176,705","8,278,088",,,,,
7/21/17,"11,433",193,"11,626",,"8,112,816","176,898","8,289,714",,,,,
7/22/17,"7,682",378,"8,060",,"8,120,498","177,276","8,297,774",,,,,
7/23/17,"6,790",284,"7,074",,"8,127,288","177,560","8,304,848",,,,,
7/24/17,"10,948",136,"11,084",,"8,138,236","177,696","8,315,932",,,,,
7/25/17,"11,607",204,"11,811",,"8,149,843","177,900","8,327,743",,,,,
7/26/17,"12,057",135,"12,192",,"8,161,900","178,035","8,339,935",,,,,
7/27/17,"12,401",200,"12,601",,"8,174,301","178,235","8,352,536",,,,,
7/28/17,"11,344",219,"11,563",,"8,185,645","178,454","8,364,099",,,,,
7/29/17,"7,169",281,"7,450",,"8,192,814","178,735","8,371,549",,,,,
7/30/17,"6,481",292,"6,773",,"8,199,295","179,027","8,378,322",,,,,
7/31/17,"9,751",257,"10,008",,"8,209,046","179,284","8,388,330",,"319,536",,,